team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
Portland Trail Blazers,2014,111.5,107.4,4.1,23.2,94.9,0.548,0.504,12.4,28.0,0.488,54.0,28.0
Sacramento Kings,2014,105.7,108.8,-3.1,18.9,94.4,0.532,0.484,13.9,27.8,0.512,28.0,54.0
San Antonio Spurs,2014,110.5,102.4,8.1,25.2,95.0,0.571,0.537,13.5,22.7,0.482,62.0,20.0
Toronto Raptors,2014,108.8,105.3,3.5,21.2,91.8,0.545,0.498,13.2,27.2,0.493,48.0,34.0
Utah Jazz,2014,103.5,111.3,-7.8,20.3,91.4,0.523,0.484,13.9,25.5,0.518,25.0,57.0
Washington Wizards,2014,106.0,104.6,1.4,23.3,93.2,0.538,0.506,13.6,25.2,0.504,44.0,38.0
Atlanta Hawks,2013,104.8,104.4,0.4,24.5,92.6,0.546,0.517,14.2,22.2,0.496,44.0,38.0
Boston Celtics,2013,103.1,103.3,-0.2,22.8,91.7,0.542,0.503,14.1,20.1,0.482,41.0,40.0
Brooklyn Nets,2013,108.2,106.2,2.0,20.3,88.8,0.536,0.498,14.0,30.9,0.503,49.0,33.0
Charlotte Bobcats,2013,101.5,111.5,-10.0,19.4,91.5,0.507,0.46,13.2,25.7,0.524,21.0,61.0
Chicago Bulls,2013,103.5,103.2,0.3,23.0,89.3,0.512,0.47,13.6,29.4,0.477,45.0,37.0
Cleveland Cavaliers,2013,104.3,109.4,-5.1,20.7,92.3,0.514,0.473,13.0,28.1,0.523,24.0,58.0
Dallas Mavericks,2013,105.9,106.5,-0.6,23.2,94.1,0.544,0.506,13.0,21.8,0.492,41.0,41.0
Denver Nuggets,2013,110.4,105.1,5.3,24.4,95.1,0.549,0.515,13.6,31.4,0.493,57.0,25.0
Detroit Pistons,2013,103.8,108.1,-4.3,21.2,90.8,0.521,0.487,14.3,28.3,0.505,29.0,53.0
Golden State Warriors,2013,106.4,105.5,0.9,22.5,94.5,0.545,0.506,14.0,25.4,0.486,47.0,35.0
Houston Rockets,2013,109.7,106.1,3.6,23.2,96.1,0.564,0.525,14.9,26.4,0.502,45.0,37.0
Indiana Pacers,2013,104.3,99.8,4.5,20.3,90.2,0.521,0.479,14.3,30.3,0.453,49.0,32.0
Los Angeles Clippers,2013,110.6,103.6,7.0,23.9,91.1,0.557,0.526,13.9,28.8,0.492,56.0,26.0
Los Angeles Lakers,2013,107.8,106.6,1.2,22.2,94.4,0.548,0.512,13.9,27.0,0.496,45.0,37.0
Memphis Grizzlies,2013,104.9,100.3,4.6,20.9,88.4,0.514,0.472,13.3,31.0,0.475,56.0,26.0
Miami Heat,2013,112.3,103.7,8.6,23.0,90.7,0.588,0.552,13.7,22.2,0.487,66.0,16.0
Milwaukee Bucks,2013,103.6,105.2,-1.6,22.9,94.7,0.51,0.476,12.7,27.9,0.492,38.0,44.0
Minnesota Timberwolves,2013,102.9,105.4,-2.5,22.4,92.8,0.516,0.473,13.8,27.4,0.511,31.0,51.0
New Orleans Hornets,2013,105.7,110.1,-4.4,21.0,88.5,0.528,0.489,14.0,29.2,0.52,27.0,55.0
New York Knicks,2013,111.1,106.3,4.8,19.3,89.8,0.55,0.515,11.7,25.6,0.508,54.0,28.0
Oklahoma City Thunder,2013,112.4,102.6,9.8,21.4,93.3,0.58,0.527,14.4,26.7,0.469,60.0,22.0
Orlando Magic,2013,101.6,109.1,-7.5,22.8,92.2,0.514,0.485,13.7,25.4,0.508,20.0,62.0
Philadelphia 76ers,2013,102.0,105.7,-3.7,22.8,91.0,0.509,0.481,12.5,24.9,0.495,34.0,48.0
Phoenix Suns,2013,101.2,108.1,-6.9,22.6,93.4,0.512,0.477,14.3,27.0,0.512,25.0,57.0
Portland Trail Blazers,2013,105.8,109.2,-3.4,21.8,91.4,0.536,0.498,13.9,25.3,0.512,33.0,49.0
Sacramento Kings,2013,106.2,111.4,-5.2,20.8,93.6,0.532,0.491,13.4,26.6,0.517,28.0,54.0
