,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l,team,season,Champion
104,117.2,111.4,5.8,25.5,102.2,0.593,0.566,12.0,23.3,0.536,46.0,26.0,Milwaukee Bucks,2021,1
105,109.5,115.0,-5.5,25.6,101.6,0.555,0.52,12.4,22.7,0.556,23.0,49.0,Minnesota Timberwolves,2021,0
106,113.5,113.8,-0.3,26.0,100.1,0.57,0.537,12.7,26.3,0.55,31.0,41.0,New Orleans Pelicans,2021,0
107,110.6,108.2,2.4,21.4,95.9,0.559,0.524,11.9,21.9,0.509,41.0,31.0,New York Knicks,2021,0
108,105.1,114.5,-9.4,21.8,98.7,0.527,0.49,11.5,21.6,0.547,21.0,51.0,Orlando Magic,2021,0
109,113.2,107.6,5.6,23.7,99.5,0.579,0.541,12.8,23.2,0.521,49.0,23.0,Philadelphia 76ers,2021,0
110,117.2,111.3,5.9,26.9,97.2,0.597,0.564,11.5,20.8,0.534,51.0,21.0,Phoenix Suns,2021,0
111,117.8,116.0,1.8,21.3,98.4,0.577,0.54,9.9,23.0,0.546,42.0,30.0,Portland Trail Blazers,2021,0
112,111.0,112.8,-1.8,24.4,98.9,0.554,0.517,10.2,20.0,0.541,33.0,39.0,San Antonio Spurs,2021,0
113,112.0,112.5,-0.5,24.1,99.2,0.567,0.529,11.9,20.8,0.543,27.0,45.0,Toronto Raptors,2021,0
114,117.6,108.3,9.3,23.7,98.5,0.597,0.563,12.7,24.5,0.507,52.0,20.0,Utah Jazz,2021,0
115,111.2,113.0,-1.8,25.5,104.1,0.569,0.531,12.3,21.3,0.539,34.0,38.0,Washington Wizards,2021,0
116,107.2,114.8,-7.6,24.0,103.0,0.554,0.515,13.8,21.6,0.543,20.0,47.0,Atlanta Hawks,2020,0
117,113.3,107.0,6.3,23.0,99.5,0.57,0.531,12.2,23.9,0.509,48.0,24.0,Boston Celtics,2020,0
118,108.9,109.5,-0.6,24.5,101.4,0.554,0.52,13.1,23.2,0.511,35.0,37.0,Brooklyn Nets,2020,0
119,106.7,109.8,-3.1,23.2,99.7,0.547,0.515,13.7,22.8,0.546,22.0,43.0,Chicago Bulls,2020,0
120,106.3,113.3,-7.0,23.8,95.8,0.539,0.504,13.3,23.9,0.546,23.0,42.0,Charlotte Hornets,2020,0
121,107.5,115.4,-7.9,23.1,98.7,0.553,0.522,14.6,24.6,0.56,19.0,46.0,Cleveland Cavaliers,2020,0
122,116.7,111.7,5.0,24.7,99.3,0.581,0.545,11.2,23.2,0.525,43.0,32.0,Dallas Mavericks,2020,0
123,113.1,111.0,2.1,26.7,97.1,0.567,0.535,12.3,24.8,0.533,46.0,27.0,Denver Nuggets,2020,0
124,109.0,112.7,-3.7,24.1,97.6,0.561,0.529,13.8,22.6,0.541,20.0,46.0,Detroit Pistons,2020,0
125,105.2,113.8,-8.6,25.6,100.3,0.54,0.497,13.2,21.5,0.553,15.0,50.0,Golden State Warriors,2020,0
126,112.9,110.1,2.8,21.6,103.7,0.578,0.537,12.6,21.0,0.529,44.0,28.0,Houston Rockets,2020,0
127,110.0,108.0,2.0,25.9,98.9,0.565,0.534,12.0,20.0,0.511,45.0,28.0,Indiana Pacers,2020,0
128,113.9,107.6,6.3,23.7,101.5,0.577,0.535,12.6,23.5,0.506,49.0,23.0,Los Angeles Clippers,2020,0
129,112.0,106.3,5.7,25.4,100.9,0.573,0.542,13.3,24.5,0.515,52.0,19.0,Los Angeles Lakers,2020,1
130,109.2,110.3,-1.1,26.9,102.8,0.561,0.528,13.2,23.0,0.521,34.0,39.0,Memphis Grizzlies,2020,0
131,112.5,109.5,3.0,25.9,98.3,0.587,0.547,13.5,20.3,0.523,44.0,29.0,Miami Heat,2020,0
132,112.4,102.9,9.5,25.9,105.1,0.583,0.552,12.9,20.7,0.489,56.0,17.0,Milwaukee Bucks,2020,0
133,108.1,112.2,-4.1,23.8,103.4,0.551,0.514,13.0,22.1,0.541,19.0,45.0,Minnesota Timberwolves,2020,0
134,110.7,111.9,-1.2,26.8,103.7,0.568,0.539,13.9,24.2,0.532,30.0,42.0,New Orleans Pelicans,2020,0
135,106.5,113.0,-6.5,22.1,98.6,0.531,0.501,12.6,25.8,0.541,21.0,45.0,New York Knicks,2020,0
136,110.8,108.8,2.0,21.7,98.8,0.573,0.53,12.4,19.3,0.518,44.0,28.0,Oklahoma City Thunder,2020,0
137,108.5,109.5,-1.0,23.9,98.6,0.544,0.506,11.5,22.3,0.535,33.0,40.0,Orlando Magic,2020,0
138,111.3,109.0,2.3,25.8,99.0,0.566,0.534,12.7,23.9,0.523,43.0,30.0,Philadelphia 76ers,2020,0
139,111.7,111.4,0.3,27.2,101.3,0.576,0.532,13.0,22.2,0.539,34.0,39.0,Phoenix Suns,2020,0
140,113.7,114.8,-1.1,20.6,100.7,0.57,0.533,11.2,22.4,0.53,35.0,39.0,Portland Trail Blazers,2020,0
141,110.2,112.2,-2.0,23.8,98.9,0.566,0.534,13.0,21.9,0.543,31.0,41.0,Sacramento Kings,2020,0
142,112.4,113.5,-1.1,24.7,100.5,0.572,0.531,11.2,20.1,0.542,32.0,39.0,San Antonio Spurs,2020,0
143,111.1,105.0,6.1,25.2,100.9,0.574,0.536,13.1,21.3,0.502,53.0,19.0,Toronto Raptors,2020,0
144,112.3,109.9,2.4,22.4,98.6,0.585,0.549,13.7,21.6,0.518,44.0,28.0,Utah Jazz,2020,0
145,110.9,115.5,-4.6,25.0,102.7,0.562,0.523,12.2,22.2,0.558,25.0,47.0,Washington Wizards,2020,0
146,108.1,113.9,-5.8,25.8,103.9,0.555,0.522,14.3,24.7,0.541,29.0,53.0,Atlanta Hawks,2019,0
147,112.2,107.8,4.4,26.3,99.6,0.567,0.534,11.5,21.6,0.514,49.0,33.0,Boston Celtics,2019,0
148,109.6,109.7,-0.1,23.8,100.8,0.556,0.52,13.0,23.8,0.512,42.0,40.0,Brooklyn Nets,2019,0
149,104.8,113.2,-8.4,21.9,99.0,0.541,0.505,12.7,19.4,0.541,22.0,60.0,Chicago Bulls,2019,0
150,111.4,112.5,-1.1,23.2,98.7,0.554,0.514,10.9,21.7,0.538,39.0,43.0,Charlotte Hornets,2019,0
151,107.7,117.6,-9.9,20.7,96.6,0.54,0.503,12.2,23.7,0.564,19.0,63.0,Cleveland Cavaliers,2019,0
152,109.4,110.7,-1.3,23.4,99.0,0.555,0.519,12.7,22.7,0.522,33.0,49.0,Dallas Mavericks,2019,0
153,113.0,108.9,4.1,27.4,97.7,0.558,0.527,11.9,26.6,0.521,54.0,28.0,Denver Nuggets,2019,0
154,109.0,109.2,-0.2,22.5,97.4,0.544,0.509,12.3,24.8,0.526,41.0,41.0,Detroit Pistons,2019,0
155,115.9,109.5,6.4,29.4,100.9,0.596,0.565,12.6,22.5,0.508,57.0,25.0,Golden State Warriors,2019,0
156,115.5,110.7,4.8,21.2,97.9,0.581,0.542,12.0,22.8,0.525,53.0,29.0,Houston Rockets,2019,0
157,109.9,106.5,3.4,26.0,98.1,0.561,0.53,12.4,21.9,0.516,48.0,34.0,Indiana Pacers,2019,0
158,112.4,111.5,0.9,24.0,101.7,0.575,0.529,12.7,22.0,0.514,48.0,34.0,Los Angeles Clippers,2019,0
159,107.8,109.5,-1.7,25.6,103.2,0.554,0.527,13.4,22.2,0.516,37.0,45.0,Los Angeles Lakers,2019,0
160,106.1,108.8,-2.7,23.9,96.6,0.548,0.508,12.9,20.0,0.521,33.0,49.0,Memphis Grizzlies,2019,0
161,107.3,107.6,-0.3,24.3,98.2,0.542,0.515,13.1,24.8,0.51,39.0,43.0,Miami Heat,2019,0
162,113.8,105.2,8.6,26.0,103.3,0.583,0.55,12.0,20.8,0.503,60.0,22.0,Milwaukee Bucks,2019,0
163,111.4,112.9,-1.5,24.6,100.2,0.552,0.511,11.4,24.6,0.538,36.0,46.0,Minnesota Timberwolves,2019,0
164,111.4,112.6,-1.2,27.0,103.3,0.563,0.529,12.6,24.1,0.532,33.0,49.0,New Orleans Pelicans,2019,0
165,104.5,113.7,-9.2,20.1,99.6,0.529,0.49,12.4,22.1,0.533,17.0,65.0,New York Knicks,2019,0
166,110.3,107.0,3.3,23.4,102.8,0.545,0.514,11.7,26.0,0.523,49.0,33.0,Oklahoma City Thunder,2019,0
167,108.9,108.1,0.8,25.5,98.1,0.55,0.518,11.9,22.0,0.515,42.0,40.0,Orlando Magic,2019,0
168,112.6,110.0,2.6,26.9,101.6,0.574,0.532,12.9,24.5,0.512,51.0,31.0,Philadelphia 76ers,2019,0
169,105.9,115.1,-9.2,23.9,100.5,0.552,0.514,13.8,20.5,0.545,19.0,63.0,Phoenix Suns,2019,0
170,114.7,110.5,4.2,23.0,99.1,0.568,0.528,12.1,26.6,0.516,53.0,29.0,Portland Trail Blazers,2019,0
171,110.4,111.5,-1.1,25.4,103.1,0.554,0.524,11.5,23.1,0.533,39.0,43.0,Sacramento Kings,2019,0
172,112.9,111.2,1.7,24.5,98.3,0.572,0.534,11.0,21.0,0.528,48.0,34.0,San Antonio Spurs,2019,0
173,113.1,107.1,6.0,25.4,100.2,0.579,0.543,12.4,21.9,0.509,58.0,24.0,Toronto Raptors,2019,1
174,110.9,105.7,5.2,26.0,100.3,0.572,0.538,13.4,22.9,0.507,50.0,32.0,Utah Jazz,2019,0
175,111.1,113.9,-2.8,26.3,101.4,0.567,0.531,12.3,21.3,0.546,32.0,50.0,Washington Wizards,2019,0
176,105.0,110.6,-5.6,23.7,98.3,0.547,0.512,14.1,21.1,0.536,24.0,58.0,Atlanta Hawks,2018,0
177,107.6,103.9,3.7,22.5,96.0,0.552,0.518,13.0,21.5,0.495,55.0,27.0,Boston Celtics,2018,0
178,106.9,110.6,-3.7,23.7,98.9,0.551,0.514,13.6,21.0,0.517,28.0,54.0,Brooklyn Nets,2018,0
179,103.8,110.9,-7.1,23.5,98.3,0.529,0.497,12.6,20.6,0.542,27.0,55.0,Chicago Bulls,2018,0
180,109.4,109.1,0.3,21.6,98.4,0.549,0.508,11.4,22.2,0.532,36.0,46.0,Charlotte Hornets,2018,0
181,112.9,111.9,1.0,23.4,98.0,0.584,0.547,12.6,20.1,0.54,50.0,32.0,Cleveland Cavaliers,2018,0
182,106.3,109.5,-3.2,22.7,95.6,0.544,0.513,11.6,18.0,0.532,24.0,58.0,Dallas Mavericks,2018,0
183,112.5,111.0,1.5,25.1,96.8,0.57,0.536,13.4,25.7,0.539,46.0,36.0,Denver Nuggets,2018,0
184,107.2,107.3,-0.1,22.8,96.2,0.543,0.512,12.3,22.7,0.524,39.0,43.0,Detroit Pistons,2018,0
185,113.6,107.6,6.0,29.3,99.6,0.603,0.569,14.1,21.0,0.504,58.0,24.0,Golden State Warriors,2018,1
186,114.7,106.1,8.6,21.5,97.6,0.59,0.551,12.7,21.3,0.521,65.0,17.0,Houston Rockets,2018,0
187,109.5,108.1,1.4,22.2,96.0,0.557,0.525,12.3,22.7,0.527,48.0,34.0,Indiana Pacers,2018,0
188,110.3,110.2,0.1,22.3,98.7,0.564,0.527,13.2,23.5,0.52,42.0,40.0,Los Angeles Clippers,2018,0
189,106.5,108.0,-1.5,23.8,100.3,0.548,0.517,13.8,23.6,0.514,35.0,47.0,Los Angeles Lakers,2018,0
190,104.5,111.0,-6.5,21.5,94.9,0.539,0.5,14.0,22.4,0.529,22.0,60.0,Memphis Grizzlies,2018,0
191,106.8,106.3,0.5,22.7,95.6,0.551,0.52,13.3,21.5,0.507,44.0,38.0,Miami Heat,2018,0
192,109.8,110.1,-0.3,23.2,96.2,0.571,0.531,12.9,20.4,0.528,44.0,38.0,Milwaukee Bucks,2018,0
193,113.4,111.1,2.3,22.7,96.0,0.566,0.523,11.4,24.4,0.539,47.0,35.0,Minnesota Timberwolves,2018,0
194,109.6,108.3,1.3,26.8,100.5,0.573,0.541,13.3,20.0,0.513,48.0,34.0,New Orleans Pelicans,2018,0
195,107.1,110.7,-3.6,23.3,96.8,0.544,0.51,13.3,24.1,0.522,29.0,53.0,New York Knicks,2018,0
196,110.7,107.2,3.5,21.3,96.7,0.546,0.514,12.4,27.7,0.525,48.0,34.0,Oklahoma City Thunder,2018,0
197,105.2,110.1,-4.9,23.4,98.1,0.545,0.512,13.3,20.0,0.525,25.0,57.0,Orlando Magic,2018,0
198,109.5,105.0,4.5,27.1,99.8,0.568,0.535,14.6,25.3,0.492,52.0,30.0,Philadelphia 76ers,2018,0
199,103.5,112.8,-9.3,21.3,100.3,0.532,0.495,13.9,22.5,0.533,21.0,61.0,Phoenix Suns,2018,0
200,109.1,106.4,2.7,19.5,96.5,0.549,0.511,12.3,23.3,0.503,49.0,33.0,Portland Trail Blazers,2018,0
201,103.7,111.1,-7.4,21.6,94.9,0.529,0.502,12.8,21.5,0.542,27.0,55.0,Sacramento Kings,2018,0
202,107.9,104.8,3.1,22.8,95.0,0.543,0.507,12.2,23.7,0.507,47.0,35.0,San Antonio Spurs,2018,0
203,113.8,105.9,7.9,24.3,97.4,0.575,0.539,12.1,23.0,0.501,59.0,23.0,Toronto Raptors,2018,0
204,108.4,103.9,4.5,22.4,95.7,0.564,0.527,13.7,21.5,0.506,48.0,34.0,Utah Jazz,2018,0
205,109.3,108.7,0.6,25.2,96.6,0.56,0.525,13.3,23.5,0.522,43.0,39.0,Washington Wizards,2018,0
206,104.9,105.7,-0.8,23.6,97.4,0.541,0.504,14.2,23.6,0.507,43.0,39.0,Atlanta Hawks,2017,0
207,111.2,108.4,2.8,25.2,96.8,0.567,0.525,12.2,21.2,0.503,53.0,29.0,Boston Celtics,2017,0
208,104.1,110.7,-6.6,21.4,101.3,0.551,0.507,14.7,19.6,0.513,20.0,62.0,Brooklyn Nets,2017,0
209,107.4,107.0,0.4,22.6,95.3,0.53,0.487,12.3,27.0,0.507,41.0,41.0,Chicago Bulls,2017,0
